CLE TOWER:                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ;Remark
                          N041.29.30.803 W081.46.12.145 N041.29.29.802 W081.46.04.128
                          N041.28.07.848 W081.45.24.767 N041.28.07.953 W081.45.24.728
                          N041.29.30.207 W081.46.02.440 N041.29.31.455 W081.46.00.101
                          N041.26.11.687 W081.48.29.911 N041.26.11.627 W081.48.29.801
                          N041.25.32.927 W081.49.30.281 N041.25.34.493 W081.49.30.572
                          N041.25.32.973 W081.49.29.847 N041.25.34.539 W081.49.30.139
                          N041.25.34.128 W081.49.29.247 N041.25.34.221 W081.49.29.323
                          N041.25.34.221 W081.49.29.323 N041.25.34.310 W081.49.29.418
                          N041.25.34.310 W081.49.29.418 N041.25.34.390 W081.49.29.531
                          N041.25.34.459 W081.49.29.660 N041.25.34.514 W081.49.29.802
                          N041.25.34.514 W081.49.29.802 N041.25.34.554 W081.49.29.954
                          N041.25.34.554 W081.49.29.954 N041.25.34.578 W081.49.30.110
                          N041.26.11.945 W081.48.30.191 N041.26.11.847 W081.48.30.110
                          N041.26.50.171 W081.47.27.651 N041.26.50.226 W081.47.27.510
                          N041.28.08.875 W081.45.26.403 N041.28.08.824 W081.45.26.510
                          N041.25.34.578 W081.49.30.110 N041.25.34.585 W081.49.30.266
                          N041.25.33.670 W081.49.31.388 N041.25.33.550 W081.49.31.366
                          N041.25.34.585 W081.49.30.266 N041.25.34.576 W081.49.30.418
                          N041.25.34.576 W081.49.30.418 N041.25.34.553 W081.49.30.561
                          N041.25.34.553 W081.49.30.561 N041.25.34.518 W081.49.30.694
                          N041.27.30.401 W081.46.27.150 N041.27.30.378 W081.46.27.294
                          N041.25.34.518 W081.49.30.694 N041.25.34.473 W081.49.30.814
                          N041.25.34.473 W081.49.30.814 N041.25.34.422 W081.49.30.921
                          N041.25.34.422 W081.49.30.921 N041.25.34.364 W081.49.31.016
                          N041.25.34.294 W081.49.31.107 N041.25.34.214 W081.49.31.191
                          N041.25.34.214 W081.49.31.191 N041.25.34.121 W081.49.31.264
                          N041.28.46.415 W081.44.23.603 N041.28.46.520 W081.44.23.564
                          N041.25.33.907 W081.49.31.366 N041.25.33.790 W081.49.31.388
                          N041.25.33.790 W081.49.31.388 N041.25.33.670 W081.49.31.388
                          N041.25.33.550 W081.49.31.366 N041.25.33.434 W081.49.31.322
                          N041.25.33.326 W081.49.31.257 N041.25.33.228 W081.49.31.176
                          N041.25.33.141 W081.49.31.081 N041.25.33.068 W081.49.30.977
                          N041.25.33.068 W081.49.30.977 N041.25.33.008 W081.49.30.867
                          N041.25.33.008 W081.49.30.867 N041.25.32.960 W081.49.30.755
                          N041.25.32.960 W081.49.30.755 N041.25.32.924 W081.49.30.642
                          N041.25.32.924 W081.49.30.642 N041.25.32.896 W081.49.30.520
                          N041.25.32.878 W081.49.30.389 N041.25.32.872 W081.49.30.248
                          N041.26.50.102 W081.47.28.095 N041.26.50.109 W081.47.27.948
                          N041.25.32.872 W081.49.30.248 N041.25.32.880 W081.49.30.102
                          N041.25.32.880 W081.49.30.102 N041.25.32.903 W081.49.29.952
                          N041.25.32.996 W081.49.29.663 N041.25.33.066 W081.49.29.532
                          N041.25.33.447 W081.49.29.179 N041.25.33.552 W081.49.29.140
                          N041.25.33.552 W081.49.29.140 N041.25.33.655 W081.49.29.120
                          N041.25.33.754 W081.49.29.116 N041.25.33.847 W081.49.29.127
                          N041.26.11.631 W081.48.29.672 N041.26.12.936 W081.48.29.914
                          N041.26.11.547 W081.48.29.214 N041.26.13.112 W081.48.29.505
                          N041.26.51.619 W081.47.27.376 N041.26.51.688 W081.47.27.505
                          N041.31.12.179 W081.40.25.448 N041.31.15.087 W081.40.27.005
                          N041.26.11.592 W081.48.28.781 N041.26.13.158 W081.48.29.072
                          N041.26.12.466 W081.48.28.060 N041.26.12.558 W081.48.28.083
                          N041.26.13.134 W081.48.28.735 N041.26.13.174 W081.48.28.886
                          N041.26.13.197 W081.48.29.043 N041.26.13.204 W081.48.29.199
                          N041.30.47.578 W081.41.22.922 N041.30.45.342 W081.41.19.999
                          N041.26.13.195 W081.48.29.351 N041.26.13.172 W081.48.29.494
                          N041.26.13.172 W081.48.29.494 N041.26.13.137 W081.48.29.627
                          N041.26.50.379 W081.47.27.285 N041.26.51.683 W081.47.27.527
                          N041.28.07.375 W081.45.25.437 N041.28.08.940 W081.45.25.727
                          N041.26.12.914 W081.48.30.040 N041.26.12.833 W081.48.30.124
                          N041.26.12.527 W081.48.30.299 N041.26.12.409 W081.48.30.321
                          N041.26.12.289 W081.48.30.322 N041.26.12.169 W081.48.30.299
                          N041.26.51.744 W081.47.27.648 N041.26.51.784 W081.47.27.799
                          N041.26.12.169 W081.48.30.299 N041.26.12.054 W081.48.30.255
                          N041.26.12.054 W081.48.30.255 N041.26.11.945 W081.48.30.191
                          N041.26.11.847 W081.48.30.110 N041.26.11.761 W081.48.30.015
                          N041.26.11.761 W081.48.30.015 N041.26.11.687 W081.48.29.911
                          N041.26.11.579 W081.48.29.688 N041.26.11.543 W081.48.29.575
                          N041.26.11.543 W081.48.29.575 N041.26.11.515 W081.48.29.454
                          N041.28.47.278 W081.44.23.841 N041.28.47.358 W081.44.23.954
                          N041.26.11.491 W081.48.29.182 N041.26.11.499 W081.48.29.035
                          N041.26.11.499 W081.48.29.035 N041.26.11.522 W081.48.28.886
                          N041.26.11.522 W081.48.28.886 N041.26.11.561 W081.48.28.738
                          N041.26.11.685 W081.48.28.465 N041.26.11.768 W081.48.28.349
                          N041.27.29.480 W081.46.25.853 N041.27.29.579 W081.46.25.849
                          N041.28.47.091 W081.44.25.689 N041.28.46.989 W081.44.25.749
                          N041.26.11.768 W081.48.28.349 N041.26.11.861 W081.48.28.250
                          N041.26.12.066 W081.48.28.112 N041.26.12.171 W081.48.28.073
