DETROIT TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ D21 CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.29.37.540 W082.48.30.154 N042.29.18.438 W082.48.12.435
                          N042.29.18.438 W082.48.12.435 N042.29.12.668 W082.48.07.569
                          N042.28.21.826 W082.47.24.683 N042.28.18.902 W082.47.22.219
                          N042.28.18.902 W082.47.22.219 N042.27.55.900 W082.47.04.379
                          N042.27.03.617 W082.46.24.814 N042.26.37.058 W082.46.06.057
                          N041.46.29.179 W083.02.35.634 N041.46.50.848 W083.03.03.299
                          N041.47.34.183 W083.03.58.643 N041.47.55.848 W083.04.26.323
                          N041.48.39.171 W083.05.21.698 N041.48.44.367 W083.05.28.343
                          N041.48.44.367 W083.05.28.343 N041.48.43.642 W083.05.58.778
                          N041.48.41.727 W083.07.18.865 N041.48.40.761 W083.07.58.908
                          N041.48.38.822 W083.09.18.995 N041.48.37.846 W083.09.59.036
                          N041.48.35.881 W083.11.19.120 N041.48.34.895 W083.11.59.161
                          N041.48.32.906 W083.13.19.243 N041.48.32.156 W083.13.49.398
                          N041.46.29.179 W083.02.35.634 N041.46.15.759 W083.03.11.437
                          N041.45.49.253 W083.04.23.255 N041.45.36.344 W083.04.59.382
                          N041.45.12.110 W083.06.12.591 N041.45.00.393 W083.06.49.431
                          N041.44.38.823 W083.08.04.116 N041.44.35.093 W083.08.17.030
                          N041.44.35.093 W083.08.17.030 N041.44.28.778 W083.08.41.813
                          N041.44.09.829 W083.09.57.737 N041.44.01.313 W083.10.36.103
                          N041.43.45.364 W083.11.53.232 N041.43.37.954 W083.12.32.003
                          N041.43.24.984 W083.13.50.117 N041.43.20.599 W083.14.17.385
                          N041.43.20.599 W083.14.17.385 N041.43.19.033 W083.14.29.321
                          N041.43.08.669 W083.15.48.133 N041.43.08.516 W083.15.49.293
                          N041.43.08.516 W083.15.49.293 N041.43.04.595 W083.16.27.766
                          N041.42.57.208 W083.17.47.150 N041.42.54.280 W083.18.26.964
                          N041.42.50.039 W083.19.46.753 N041.42.48.361 W083.20.26.694
                          N041.42.47.202 W083.21.46.682 N041.42.46.989 W083.22.02.102
                          N041.42.46.989 W083.22.02.102 N041.42.47.338 W083.22.26.676
                          N041.42.48.843 W083.23.46.648 N041.42.50.662 W083.24.26.576
                          N041.42.55.359 W083.25.46.323 N041.42.58.295 W083.26.26.134
                          N041.43.05.997 W083.27.45.471 N041.43.08.929 W083.28.14.019
                          N041.43.08.929 W083.28.14.019 N041.43.10.379 W083.28.25.041
                          N041.43.20.735 W083.29.43.853 N041.43.21.063 W083.29.46.364
                          N041.43.21.063 W083.29.46.364 N041.43.26.974 W083.30.22.984
                          N041.43.40.264 W083.31.40.999 N041.43.47.680 W083.32.19.767
                          N041.44.04.088 W083.33.36.721 N041.44.12.740 W083.34.15.035
                          N041.44.31.999 W083.35.30.828 N041.44.35.930 W083.35.46.253
                          N041.44.35.930 W083.35.46.253 N041.44.42.301 W083.36.08.402
                          N041.45.04.071 W083.37.22.978 N041.45.15.971 W083.37.59.713
                          N041.45.40.695 W083.39.12.632 N041.45.53.609 W083.39.48.761
                          N041.46.20.954 W083.41.00.011 N041.46.31.413 W083.41.26.777
                          N041.46.31.413 W083.41.26.777 N041.46.35.095 W083.41.35.308
                          N041.47.05.032 W083.42.44.692 N041.47.06.426 W083.42.47.922
                          N041.47.06.426 W083.42.47.922 N041.47.20.638 W083.43.18.885
                          N041.48.11.306 W083.27.59.926 N041.48.12.312 W083.27.19.888
                          N041.48.14.315 W083.25.59.815 N041.48.15.308 W083.25.19.779
                          N041.48.17.286 W083.23.59.703 N041.48.18.270 W083.23.19.664
                          N041.48.20.226 W083.21.59.588 N041.48.21.197 W083.21.19.547
                          N041.48.23.128 W083.19.59.468 N041.48.24.088 W083.19.19.427
                          N041.48.25.993 W083.17.59.346 N041.48.26.943 W083.17.19.305
                          N041.48.28.827 W083.15.59.221 N041.48.29.764 W083.15.19.180
                          N041.48.31.623 W083.13.59.093 N041.48.31.858 W083.13.48.959
                          N041.48.10.978 W083.27.59.924 N041.48.09.869 W083.28.39.954
                          N041.48.07.640 W083.30.00.017 N041.48.06.520 W083.30.40.046
                          N041.48.04.268 W083.32.00.106 N041.48.03.135 W083.32.40.134
                          N041.48.00.859 W083.34.00.190 N041.47.59.714 W083.34.40.217
                          N041.47.57.416 W083.36.00.273 N041.47.56.261 W083.36.40.298
                          N041.47.53.938 W083.38.00.351 N041.47.52.770 W083.38.40.376
                          N041.47.50.422 W083.40.00.424 N041.47.49.245 W083.40.40.449
                          N041.47.46.875 W083.42.00.496 N041.47.45.683 W083.42.40.516
                          N041.47.44.272 W083.43.27.806 N041.47.43.075 W083.44.07.782
                          N041.51.00.180 W083.49.41.487 N041.50.40.123 W083.49.11.700
                          N041.50.00.350 W083.48.11.737 N041.49.41.277 W083.47.40.824
                          N041.49.03.793 W083.46.38.300 N041.48.45.684 W083.46.06.375
                          N041.48.10.641 W083.45.01.395 N041.47.43.121 W083.44.07.873
                          N041.51.00.180 W083.49.41.487 N041.51.29.443 W083.49.50.165
                          N041.52.27.969 W083.50.07.530 N041.52.57.231 W083.50.16.215
                          N041.53.55.753 W083.50.33.590 N041.54.25.015 W083.50.42.282
                          N041.55.23.537 W083.50.59.672 N041.55.52.797 W083.51.08.371
                          N041.56.51.318 W083.51.25.774 N041.57.20.577 W083.51.34.479
                          N041.58.19.098 W083.51.51.897 N041.58.48.357 W083.52.00.609
                          N041.59.46.875 W083.52.18.039 N042.00.16.133 W083.52.26.757
                          N042.01.14.651 W083.52.44.201 N042.01.43.909 W083.52.52.924
                          N042.02.42.423 W083.53.10.383 N042.03.11.681 W083.53.19.113
                          N042.04.10.197 W083.53.36.584 N042.04.32.723 W083.53.43.313
                          N042.04.32.723 W083.53.43.313 N042.04.04.696 W083.53.29.051
                          N042.03.09.017 W083.52.59.292 N042.02.41.408 W083.52.43.637
                          N042.01.47.149 W083.52.09.466 N042.01.37.605 W083.52.03.377
                          N042.01.37.605 W083.52.03.377 N042.01.20.446 W083.51.51.231
                          N042.00.27.769 W083.51.12.894 N042.00.01.907 W083.50.52.585
                          N041.59.11.150 W083.50.09.858 N041.58.53.446 W083.49.54.537
                          N041.58.53.446 W083.49.54.537 N041.58.46.170 W083.49.47.672
                          N041.57.57.273 W083.49.01.211 N041.57.33.423 W083.48.36.886
                          N041.56.46.673 W083.47.46.656 N041.56.23.713 W083.47.20.847
                          N041.55.39.350 W083.46.26.854 N041.55.35.616 W083.46.22.302
                          N041.55.35.616 W083.46.22.302 N041.55.18.010 W083.45.58.682
                          N041.54.36.161 W083.45.01.230 N041.54.15.694 W083.44.31.919
                          N041.53.36.442 W083.43.31.294 N041.53.26.118 W083.43.15.038
                          N041.53.26.118 W083.43.15.038 N041.53.17.476 W083.43.00.243
                          N041.52.40.934 W083.41.56.666 N041.52.23.545 W083.41.24.002
                          N041.51.50.002 W083.40.17.552 N041.51.35.685 W083.39.48.247
                          N041.51.35.685 W083.39.48.247 N041.51.33.747 W083.39.43.870
                          N041.51.03.210 W083.38.34.870 N041.50.48.958 W083.37.59.604
                          N041.50.21.438 W083.36.48.401 N041.50.08.294 W083.36.12.382
                          N041.49.43.897 W083.34.59.175 N041.49.39.726 W083.34.46.512
                          N041.49.39.726 W083.34.46.512 N041.49.32.744 W083.34.21.991
                          N041.49.12.001 W083.33.06.811 N041.49.02.441 W083.32.28.837
                          N041.48.44.767 W083.31.12.278 N041.48.38.813 W083.30.45.499
                          N041.48.38.813 W083.30.45.499 N041.48.36.661 W083.30.33.717
                          N041.48.22.629 W083.29.15.825 N041.48.10.974 W083.27.59.908
                          N042.04.32.723 W083.53.43.313 N042.04.57.638 W083.53.20.947
                          N042.05.47.465 W083.52.36.205 N042.06.12.373 W083.52.13.824
                          N042.07.02.196 W083.51.29.053 N042.07.27.103 W083.51.06.659
                          N042.08.16.914 W083.50.21.857 N042.08.41.816 W083.49.59.447
                          N042.09.31.622 W083.49.14.617 N042.10.09.937 W083.48.40.110
                          N042.10.09.937 W083.48.40.110 N042.09.40.337 W083.48.33.784
                          N042.08.41.420 W083.48.19.046 N042.08.19.040 W083.48.12.803
                          N042.08.19.040 W083.48.12.803 N042.08.12.152 W083.48.10.412
                          N042.07.14.232 W083.47.49.690 N042.06.45.557 W083.47.37.978
                          N042.05.48.954 W083.47.11.551 N042.05.37.233 W083.47.05.832
                          N042.05.37.233 W083.47.05.832 N042.05.21.042 W083.46.56.905
                          N042.04.25.994 W083.46.25.103 N042.03.58.839 W083.46.08.076
                          N042.03.05.795 W083.45.30.625 N042.03.04.077 W083.45.29.397
                          N042.03.04.077 W083.45.29.397 N042.02.39.949 W083.45.10.266
                          N042.01.49.088 W083.44.27.743 N042.01.28.485 W083.44.09.712
                          N042.01.28.485 W083.44.09.712 N042.01.24.138 W083.44.05.484
                          N042.20.34.147 W082.57.10.824 N042.20.06.196 W082.56.56.248
                          N042.19.09.811 W082.56.28.880 N042.18.45.589 W082.56.17.861
                          N042.18.45.589 W082.56.17.861 N042.18.41.353 W082.56.16.228
                          N042.17.43.641 W082.55.54.447 N042.17.14.459 W082.55.45.241
                          N042.16.15.691 W082.55.29.461 N042.15.57.078 W082.55.24.937
                          N042.15.57.078 W082.55.24.937 N042.15.46.116 W082.55.22.983
                          N042.14.46.626 W082.55.13.184 N042.14.16.764 W082.55.09.708
                          N042.13.16.903 W082.55.05.932 N042.13.04.412 W082.55.05.355
                          N042.13.04.412 W082.55.05.355 N042.12.46.937 W082.55.05.618
                          N042.11.47.035 W082.55.07.905 N042.11.17.124 W082.55.10.421
                          N042.10.17.502 W082.55.18.674 N042.10.12.209 W082.55.19.447
                          N042.10.12.209 W082.55.19.447 N042.09.47.851 W082.55.24.519
                          N042.08.48.862 W082.55.38.698 N042.08.19.525 W082.55.46.937
                          N042.07.21.489 W082.56.07.084 N042.06.52.867 W082.56.19.042
                          N042.05.56.130 W082.56.44.946 N042.05.33.278 W082.56.56.093
                          N042.05.33.278 W082.56.56.093 N042.05.28.048 W082.56.58.997
