BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.48.58.960 W078.34.51.616 N042.49.21.361 W078.34.19.391
                          N042.49.21.361 W078.34.19.391 N042.49.45.018 W078.33.48.861
                          N042.49.45.018 W078.33.48.861 N042.50.09.858 W078.33.20.117
                          N042.50.09.858 W078.33.20.117 N042.50.35.809 W078.32.53.244
                          N042.50.35.809 W078.32.53.244 N042.51.02.792 W078.32.28.320
                          N042.51.02.792 W078.32.28.320 N042.51.30.734 W078.32.05.421
                          N042.51.30.734 W078.32.05.421 N042.51.59.550 W078.31.44.616
                          N042.51.59.550 W078.31.44.616 N042.52.29.153 W078.31.25.963
                          N042.52.29.153 W078.31.25.963 N042.52.59.456 W078.31.09.524
                          N042.52.59.456 W078.31.09.524 N042.53.30.376 W078.30.55.345
                          N042.53.30.376 W078.30.55.345 N042.54.01.813 W078.30.43.466
                          N042.54.01.813 W078.30.43.466 N042.54.33.677 W078.30.33.928
                          N042.54.33.677 W078.30.33.928 N042.55.05.876 W078.30.26.758
                          N042.55.05.876 W078.30.26.758 N042.55.38.314 W078.30.21.978
                          N042.55.38.314 W078.30.21.978 N042.56.10.893 W078.30.19.603
                          N042.56.10.893 W078.30.19.603 N042.56.43.522 W078.30.19.642
                          N042.56.43.522 W078.30.19.642 N042.57.16.097 W078.30.22.093
                          N042.57.16.097 W078.30.22.093 N042.57.48.530 W078.30.26.956
                          N042.57.48.530 W078.30.26.956 N042.58.20.718 W078.30.34.210
                          N042.58.20.718 W078.30.34.210 N042.58.52.568 W078.30.43.842
                          N042.58.52.568 W078.30.43.842 N042.59.23.988 W078.30.55.818
                          N042.59.23.988 W078.30.55.818 N042.59.54.883 W078.31.10.109
                          N042.59.54.883 W078.31.10.109 N043.00.25.163 W078.31.26.669
                          N043.00.25.163 W078.31.26.669 N043.00.54.734 W078.31.45.452
                          N043.00.54.734 W078.31.45.452 N043.01.23.511 W078.32.06.404
                          N043.01.23.511 W078.32.06.404 N043.01.51.410 W078.32.29.462
                          N043.01.51.410 W078.32.29.462 N043.02.18.346 W078.32.54.558
                          N043.02.18.346 W078.32.54.558 N043.02.44.238 W078.33.21.620
                          N043.02.44.238 W078.33.21.620 N043.03.09.013 W078.33.50.565
                          N043.03.09.013 W078.33.50.565 N043.03.32.595 W078.34.21.314
                          N043.03.32.595 W078.34.21.314 N043.03.54.914 W078.34.53.769
                          N043.03.54.914 W078.34.53.769 N043.04.15.901 W078.35.27.839
                          N043.04.15.901 W078.35.27.839 N043.04.35.501 W078.36.03.419
                          N043.04.35.501 W078.36.03.419 N043.04.53.646 W078.36.40.407
                          N043.04.53.646 W078.36.40.407 N043.05.10.289 W078.37.18.692
                          N043.05.10.289 W078.37.18.692 N043.05.25.380 W078.37.58.158
                          N043.05.25.380 W078.37.58.158 N043.05.38.870 W078.38.38.691
                          N043.05.38.870 W078.38.38.691 N043.05.50.722 W078.39.20.171
                          N043.05.50.722 W078.39.20.171 N043.06.00.900 W078.40.02.470
                          N043.06.00.900 W078.40.02.470 N043.06.09.376 W078.40.45.466
                          N043.06.09.376 W078.40.45.466 N043.06.16.120 W078.41.29.029
                          N043.06.16.120 W078.41.29.029 N043.06.21.114 W078.42.13.032
                          N043.06.21.114 W078.42.13.032 N043.06.24.344 W078.42.57.340
                          N043.06.24.344 W078.42.57.340 N043.06.25.799 W078.43.41.825
                          N043.06.25.799 W078.43.41.825 N043.06.25.475 W078.44.26.350
                          N043.06.25.475 W078.44.26.350 N043.06.23.374 W078.45.10.786
