PITTSBURGH TRACON AREA    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ PIT CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.24.59.695 W080.25.56.041 N040.25.29.538 W080.26.12.930
                          N040.25.29.538 W080.26.12.930 N040.26.00.033 W080.26.27.683
                          N040.26.00.033 W080.26.27.683 N040.26.31.095 W080.26.40.255
                          N040.26.31.095 W080.26.40.255 N040.27.02.634 W080.26.50.611
                          N040.27.02.634 W080.26.50.611 N040.27.34.552 W080.26.58.720
                          N040.27.34.552 W080.26.58.720 N040.28.06.759 W080.27.04.557
                          N040.28.06.759 W080.27.04.557 N040.28.39.160 W080.27.08.103
                          N040.28.39.160 W080.27.08.103 N040.29.11.658 W080.27.09.349
                          N040.29.11.658 W080.27.09.349 N040.29.44.164 W080.27.08.286
                          N040.29.44.164 W080.27.08.286 N040.30.16.576 W080.27.04.921
                          N040.30.16.576 W080.27.04.921 N040.30.48.801 W080.26.59.260
                          N040.30.48.801 W080.26.59.260 N040.31.20.745 W080.26.51.319
                          N040.31.20.745 W080.26.51.319 N040.31.52.314 W080.26.41.123
                          N040.31.52.314 W080.26.41.123 N040.32.23.414 W080.26.28.697
                          N040.32.23.414 W080.26.28.697 N040.32.53.956 W080.26.14.080
                          N040.32.53.956 W080.26.14.080 N040.33.23.848 W080.25.57.311
                          N040.33.23.848 W080.25.57.311 N040.33.53.001 W080.25.38.444
                          N040.33.53.001 W080.25.38.444 N040.34.21.335 W080.25.17.527
                          N040.34.21.335 W080.25.17.527 N040.34.48.761 W080.24.54.627
                          N040.34.48.761 W080.24.54.627 N040.35.15.199 W080.24.29.806
                          N040.35.15.199 W080.24.29.806 N040.35.40.574 W080.24.03.139
                          N040.35.40.574 W080.24.03.139 N040.36.04.808 W080.23.34.703
                          N040.36.04.808 W080.23.34.703 N040.36.27.832 W080.23.04.582
                          N040.36.27.832 W080.23.04.582 N040.36.49.576 W080.22.32.863
                          N040.36.49.576 W080.22.32.863 N040.37.09.974 W080.21.59.640
                          N040.37.09.974 W080.21.59.640 N040.37.28.974 W080.21.25.014
                          N040.37.28.974 W080.21.25.014 N040.37.46.512 W080.20.49.081
                          N040.37.46.512 W080.20.49.081 N040.38.02.538 W080.20.11.951
                          N040.38.02.538 W080.20.11.951 N040.38.17.007 W080.19.33.731
                          N040.38.17.007 W080.19.33.731 N040.38.29.874 W080.18.54.535
                          N040.38.29.874 W080.18.54.535 N040.38.41.100 W080.18.14.478
                          N040.38.41.100 W080.18.14.478 N040.38.50.656 W080.17.33.677
                          N040.38.50.656 W080.17.33.677 N040.38.58.514 W080.16.52.256
                          N040.38.58.514 W080.16.52.256 N040.39.04.644 W080.16.10.334
                          N040.39.04.644 W080.16.10.334 N040.39.09.034 W080.15.28.036
                          N040.39.09.034 W080.15.28.036 N040.39.11.668 W080.14.45.486
                          N040.39.11.668 W080.14.45.486 N040.39.12.541 W080.14.02.814
                          N040.39.12.541 W080.14.02.814 N040.39.11.646 W080.13.20.139
                          N040.39.11.646 W080.13.20.139 N040.39.08.991 W080.12.37.592
                          N040.39.08.991 W080.12.37.592 N040.39.04.580 W080.11.55.299
                          N040.39.04.580 W080.11.55.299 N040.38.58.430 W080.11.13.382
