CLEVELAND TRACON AREA     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ CLE CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.05.59.390 W082.15.22.560 N041.06.04.534 W082.15.23.547
                          N041.38.10.256 W081.25.03.301 N041.38.13.595 W081.25.09.147
                          N040.28.29.665 W080.46.35.974 N040.28.37.134 W080.46.35.547
                          N041.37.25.167 W082.11.42.147 N041.38.06.155 W082.10.49.249
                          N041.05.44.263 W082.14.08.054 N041.05.46.332 W082.14.07.149
                          N040.28.20.483 W080.47.06.423 N040.28.15.953 W080.46.59.349
                          N041.38.06.155 W082.10.49.249 N041.38.44.508 W082.09.54.124
                          N041.38.44.508 W082.09.54.124 N041.39.21.215 W082.08.55.899
                          N041.24.08.890 W081.25.44.092 N041.23.11.589 W081.25.44.899
                          N040.14.11.157 W080.31.18.096 N040.13.53.414 W080.30.50.699
                          N041.26.45.343 W081.55.28.974 N041.26.04.493 W081.55.21.299
                          N041.31.35.130 W081.51.43.662 N041.31.37.613 W081.51.44.999
                          N040.28.17.761 W080.30.00.945 N040.28.18.664 W080.30.05.099
                          N041.39.21.215 W082.08.55.899 N041.39.55.613 W082.07.55.890
                          N041.10.47.932 W082.19.09.495 N041.10.45.761 W082.19.14.290
                          N041.39.55.613 W082.07.55.890 N041.40.28.031 W082.06.53.659
                          N041.40.28.031 W082.06.53.659 N041.40.58.139 W082.05.49.645
                          N041.04.34.435 W082.15.10.152 N041.04.32.325 W082.15.08.445
                          N040.28.50.942 W080.29.47.661 N040.28.47.009 W080.29.52.145
                          N041.41.25.606 W082.04.43.409 N041.41.51.090 W082.03.35.832
                          N041.41.51.090 W082.03.35.832 N041.42.13.930 W082.02.26.476
                          N041.11.33.934 W082.19.53.597 N041.11.32.413 W082.19.55.476
                          N041.27.50.493 W081.54.48.119 N041.27.53.808 W081.54.53.976
                          N041.40.49.161 W081.55.58.696 N041.40.53.567 W081.55.54.276
                          N040.29.46.347 W080.48.16.129 N040.29.48.154 W080.48.19.876
                          N041.42.13.930 W082.02.26.476 N041.42.34.457 W082.01.15.781
                          N041.42.34.457 W082.01.15.781 N041.42.52.337 W082.00.04.189
                          N041.06.07.582 W081.39.42.234 N041.05.41.669 W081.40.49.789
                          N040.48.58.602 W080.17.44.913 N040.48.53.924 W080.18.23.489
                          N041.38.23.079 W081.47.57.659 N041.38.32.385 W081.49.01.389
                          N041.11.49.017 W082.19.09.136 N041.11.52.312 W082.19.14.989
                          N041.31.38.446 W081.52.48.454 N041.31.39.035 W081.52.42.889
                          N041.24.15.907 W081.51.03.825 N041.24.16.308 W081.51.04.389
                          N041.42.52.337 W082.00.04.189 N041.43.07.573 W081.58.51.263
                          N041.33.28.402 W082.07.29.115 N041.32.50.456 W082.08.09.763
                          N041.05.31.939 W082.15.09.478 N041.05.32.530 W082.15.13.063
                          N040.29.10.340 W080.28.43.441 N040.29.12.752 W080.28.45.563
                          N041.43.07.573 W081.58.51.263 N041.43.20.162 W081.57.37.443
                          N041.40.21.112 W081.56.01.599 N041.40.18.958 W081.56.06.443
                          N041.43.20.162 W081.57.37.443 N041.43.30.434 W081.56.22.733
                          N041.27.15.146 W081.55.55.182 N041.27.17.352 W081.55.56.033
                          N041.43.30.434 W081.56.22.733 N041.43.37.728 W081.55.07.574
                          N041.05.22.761 W082.02.51.050 N041.05.46.682 W082.03.59.474
                          N041.10.04.767 W082.11.40.999 N041.09.19.816 W082.10.42.374
                          N041.43.37.728 W081.55.07.574 N041.43.42.375 W081.53.51.968
                          N041.43.42.375 W081.53.51.968 N041.43.44.374 W081.52.36.359
                          N041.38.11.192 W081.46.54.699 N041.38.23.079 W081.47.57.659
                          N041.43.40.427 W081.50.05.139 N041.43.34.152 W081.48.49.973
                          N041.10.07.616 W082.18.59.967 N041.10.09.786 W082.18.55.173
                          N041.34.26.708 W081.46.25.500 N041.34.23.753 W081.46.19.273
                          N041.43.34.152 W081.48.49.973 N041.43.25.558 W081.47.34.813
                          N040.28.56.126 W080.29.17.080 N040.28.43.239 W080.29.14.913
                          N040.29.47.207 W080.30.27.645 N040.29.50.478 W080.30.29.913
                          N041.43.25.558 W081.47.34.813 N041.43.13.988 W081.46.20.980
                          N041.36.10.416 W082.03.28.249 N041.35.42.037 W082.04.20.980
                          N041.32.57.047 W081.45.15.450 N041.33.02.651 W081.45.15.180
                          N041.40.55.633 W081.55.53.353 N041.40.58.297 W081.55.52.980
                          N041.43.13.988 W081.46.20.980 N041.43.00.101 W081.45.07.599
                          N040.25.32.927 W080.52.58.742 N040.24.47.899 W080.52.50.399
                          N041.43.00.101 W081.45.07.599 N041.42.43.566 W081.43.55.109
                          N041.13.18.677 W081.37.58.402 N041.13.54.585 W081.37.14.809
                          N041.27.53.808 W081.54.53.976 N041.27.54.870 W081.54.59.409
                          N040.31.16.738 W080.20.22.529 N040.31.17.446 W080.20.15.209
                          N041.42.43.566 W081.43.55.109 N041.42.24.386 W081.42.43.515
                          N041.05.06.217 W082.14.22.885 N041.05.04.101 W082.14.24.215
                          N041.41.19.222 W081.57.07.833 N041.41.20.919 W081.57.04.215
                          N041.42.24.386 W081.42.43.515 N041.42.02.561 W081.41.33.697
                          N041.10.24.045 W082.20.05.277 N041.10.25.754 W082.20.01.697
                          N041.42.02.561 W081.41.33.697 N041.41.38.422 W081.40.25.215
                          N041.27.10.685 W081.55.50.854 N041.27.12.709 W081.55.53.415
                          N041.41.38.422 W081.40.25.215 N041.41.11.969 W081.39.18.513
                          N041.32.24.741 W081.28.20.428 N041.31.33.265 W081.27.49.613
                          N041.04.30.344 W082.14.44.639 N041.04.31.080 W082.14.43.913
                          N041.34.22.659 W081.46.42.219 N041.34.23.759 W081.46.41.113
                          N041.41.11.969 W081.39.18.513 N041.40.42.873 W081.38.13.152
                          N041.40.42.873 W081.38.13.152 N041.40.42.873 W081.38.13.152
                          N040.29.59.928 W080.30.31.505 N040.30.02.672 W080.30.30.252
                          N041.40.42.873 W081.38.13.152 N041.40.11.797 W081.37.10.449
                          N041.32.45.497 W081.46.03.079 N041.32.43.619 W081.46.05.349
                          N041.40.11.797 W081.37.10.449 N041.39.38.739 W081.36.09.528
                          N041.33.14.908 W081.28.54.332 N041.32.24.741 W081.28.20.428
                          N041.39.38.739 W081.36.09.528 N041.39.03.372 W081.35.10.828
                          N041.26.02.592 W081.55.48.408 N041.26.01.127 W081.55.52.928
                          N040.30.33.407 W080.24.48.060 N040.30.25.939 W080.24.48.528
                          N041.39.03.372 W081.35.10.828 N041.38.26.027 W081.34.14.788
                          N041.38.26.027 W081.34.14.788 N041.37.46.375 W081.33.20.972
